ITEM_NAME,ITEM_TYPE,ITEM_PRESENTATION_TYPE,ITEM_SECTION,ITEM_PARENT_ID,ITEM_STEM,ITEM_MEMBER,SCALE_OPTIONS,SurveyAdminYear2023,QuestionText.2023,SurveyAdminYear2021,QuestionText.2021,SurveyAdminYear2022,QuestionText.2022,SurveyAdminYear2024,QuestionText.2024
PRG_QUAL_FAF,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Faculty assistance in helping you find and secure funding,quality1,2023,Please rate the following aspects of your program. - Faculty assistance in helping you find and secure funding,2021,Please rate the following aspects of your program. - Faculty assistance in helping you find and secure funding,2022,Please rate the following aspects of your program. - Faculty assistance in helping you find and secure funding,2024,Please rate the following aspects of your program. - Faculty assistance in helping you find and secure funding
PRG_QUAL_TLK,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities to give talks or presentations related to your areas of specialization,quality1,2023,Please rate the following aspects of your program. - Opportunities to give talks or presentations related to your areas of specialization,NA,NA,NA,NA,2024,Please rate the following aspects of your program. - Opportunities to give talks or presentations related to your areas of specialization
PRG_QUAL_TRA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities for training in presenting research,quality1,2023,Please rate the following aspects of your program. - Opportunities for training in presenting research,NA,NA,NA,NA,2024,Please rate the following aspects of your program. - Opportunities for training in presenting research
PRG_QUAL_GDP,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Overall quality of your graduate degree program,quality1,2023,Please rate the following aspects of your program. - Overall quality of your graduate degree program,2021,Please rate the following aspects of your program. - Overall quality of your graduate degree program,2022,Please rate the following aspects of your program. - Overall quality of your graduate degree program,2024,Please rate the following aspects of your program. - Overall quality of your graduate degree program
PRG_CURRIC_RWD,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,My program's requirements are well-defined,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are well-defined,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are well-defined,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are well-defined,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are well-defined
PRG_CURRIC_PRA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,My program's requirements are appropriate,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are appropriate,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are appropriate,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are appropriate,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's requirements are appropriate
PRG_CURRIC_CCA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,My program's core course requirements provide adequate preparation for later courses,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's core course requirements provide adequate preparation for later courses,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's core course requirements provide adequate preparation for later courses,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's core course requirements provide adequate preparation for later courses,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's core course requirements provide adequate preparation for later courses
PRG_CURRIC_PKT,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,My program's curriculum provides the knowledge and training for graduate-level competency in my area of specialization,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's curriculum provides the knowledge and training for graduate-level competency in my area of specialization,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's curriculum provides the knowledge and training for graduate-level competency in my area of specialization,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's curriculum provides the knowledge and training for graduate-level competency in my area of specialization,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - My program's curriculum provides the knowledge and training for graduate-level competency in my area of specialization
PRG_CURRIC_RCO,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,Required courses are offered regularly and as scheduled,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - Required courses are offered regularly and as scheduled,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - Required courses are offered regularly and as scheduled,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - Required courses are offered regularly and as scheduled,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - Required courses are offered regularly and as scheduled
PRG_CURRIC_ECO,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,Elective courses are offered regularly and as scheduled,agree3,2023,Please indicate how accurately the following statements describe the curriculum of your department/program. - Elective courses are offered regularly and as scheduled,2021,Please indicate how accurately the following statements describe the curriculum of your department/program. - Elective courses are offered regularly and as scheduled,2022,Please indicate how accurately the following statements describe the curriculum of your department/program. - Elective courses are offered regularly and as scheduled,2024,Please indicate how accurately the following statements describe the curriculum of your department/program. - Elective courses are offered regularly and as scheduled
PRG_CURRIC_SQC,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,"Overall, I am satisfied with the quality of the curriculum",agree3,2023,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I am satisfied with the quality of the curriculum",2021,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I am satisfied with the quality of the curriculum",2022,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I am satisfied with the quality of the curriculum",2024,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I am satisfied with the quality of the curriculum"
PRG_CURRIC_USE,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",4,Please indicate how accurately the following statements describe the curriculum of your department/program.,"Overall, I have a clear understanding of the program's standards and expectations for student work",agree3,2023,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I have a clear understanding of the program's standards and expectations for student work",2021,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I have a clear understanding of the program's standards and expectations for student work",2022,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I have a clear understanding of the program’s standards and expectations for student work",2024,"Please indicate how accurately the following statements describe the curriculum of your department/program. - Overall, I have a clear understanding of the program's standards and expectations for student work"
PRG_ACWORK_MEI,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",5,Indicate your level of agreement or disagreement with each item by selecting the appropriate response (about academic work),My academic work is meaningful and inspires me,agree3,2023,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work is meaningful and inspires me,2021,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work is meaningful and inspires me,2022,"Indicate your level of agreement or disagreement with the following statement:

""My academic work is meaningful and inspires me"" -",2024,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work is meaningful and inspires me
PRG_ACWORK_SCI,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",5,Indicate your level of agreement or disagreement with each item by selecting the appropriate response (about academic work),My academic work stretches and challenges me intellectually,agree3,2023,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work challenges me intellectually,2021,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work stretches and challenges me intellectually,NA,NA,2024,Indicate your level of agreement or disagreement with each item by selecting the appropriate response. - My academic work challenges me intellectually
ADV_FAC_ADV,Single Select,standalone,Advising Experience,NA,Think about the one faculty member who is most involved in your advising. That person is...,NA,NA,2023,Think about the one faculty member who is most involved in your advising. That person is...,NA,NA,NA,NA,2024,Think about the one faculty member who is most involved in your advising. That person is...
ADV_PRIMARY_ADVO,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,advocates for me,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - advocates for me,2021,My primary academic advisor... - advocates for me,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - advocates for me
ADV_PRIMARY_SOP,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,allows me to set my own priorities,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - allows me to set my own priorities,2021,My primary academic advisor... - allows me to set my own priorities,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - allows me to set my own priorities
ADV_PRIMARY_AGA,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,provides advice in support of my goals and ambitions,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides advice in support of my goals and ambitions,2021,My primary academic advisor... - provides advice in support of my goals and ambitions,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides advice in support of my goals and ambitions
ADV_PRIMARY_RGA,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,provides resources in support of my goals and ambitions,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides resources in support of my goals and ambitions,2021,My primary academic advisor... - provides resources in support of my goals and ambitions,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides resources in support of my goals and ambitions
ADV_PRIMARY_HMS,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,helps me find other mentors and sponsors,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - helps me find other mentors and sponsors,2021,My primary academic advisor... - helps me find other mentors and sponsors,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - helps me find other mentors and sponsors
ADV_PRIMARY_IWB,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,seems genuinely interested in my personal well-being,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - seems genuinely interested in my personal well-being,2021,My primary academic advisor... - seems genuinely interested in my personal well-being,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - seems genuinely interested in my personal well-being
ADV_PRIMARY_SFWB,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,is supportive of my financial well-being,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - is supportive of my financial well-being,2021,My primary academic advisor... - is supportive of my financial well-being,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - is supportive of my financial well-being
ADV_PRIMARY_AIT,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,is actively involved in my academic training,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - is actively involved in my academic training,2021,My primary academic advisor... - is actively involved in my academic training,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - is actively involved in my academic training
ADV_PRIMARY_REX,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,has realistic expectations for the work I am able to accomplish,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - has appropriate expectations for the work I am able to accomplish,2021,My primary academic advisor... - has realistic expectations for the work I am able to accomplish,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - has appropriate expectations for the work I am able to accomplish
ADV_PRIMARY_PTF,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,provides timely feedback,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides timely feedback,NA,NA,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides timely feedback
ADV_PRIMARY_PCF,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,provides constructive feedback,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides constructive feedback,NA,NA,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - provides constructive feedback
ADV_PRIMARY_ENV,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,creates a welcoming environment where I can be myself,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a welcoming environment where I can be myself,NA,NA,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a welcoming environment where I can be myself
ADV_PRIMARY_RAC,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,"creates a safe space for conversations about race, power, and privilege",agree3,2023,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a safe space for conversations about race, power, and privilege",NA,NA,NA,NA,2024,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a safe space for conversations about race, power, and privilege"
ADV_PRIMARY_GEN,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,"creates a safe space for conversations about gender, power, and privilege",agree3,2023,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a safe space for conversations about gender, power, and privilege",NA,NA,NA,NA,2024,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - creates a safe space for conversations about gender, power, and privilege"
ADV_PRIMARY_OOC,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,is open to off-campus opportunities for me,agree3,2023,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - is open to off-campus opportunities for me, such as internships, mentoring, and training",2021,"My primary academic advisor... - is open to off-campus opportunities for me, such as internships, mentoring, and training",NA,NA,2024,"Think about the faculty advisor you selected in the previous question. My faculty advisor... - is open to off-campus opportunities for me, such as internships, mentoring, and training"
ADV_PRIMARY_OWA,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,shares information about career opportunities within academia,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - shares knowledgeable information about career opportunities within academia,2021,My primary academic advisor... - shares knowledgeable information about career opportunities within academia,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - shares knowledgeable information about career opportunities within academia
ADV_PRIMARY_OOA,Interval Scale,matrix,Advising Experience,6,My faculty advisor...,shares information about career opportunities outside of academia,agree3,2023,Think about the faculty advisor you selected in the previous question. My faculty advisor... - shares knowledgeable information about career opportunities outside of academia,2021,My primary academic advisor... - shares knowledgeable information about career opportunities outside of academia,NA,NA,2024,Think about the faculty advisor you selected in the previous question. My faculty advisor... - shares knowledgeable information about career opportunities outside of academia
ADV_DISCUSS_ACP,Ratio Scale,standalone,Advising Experience,NA,"Thinking back to last term, how often did you and your academic advisor devote time specifically to discussing your academic or professional situation (for example, your academic or professional goals, your classes, exams, degree progress, or career)?",NA,ratio5,2023,"Thinking back to last term, how often did you and your faculty advisor devote time specifically to discussing your academic or professional situation (for example, your academic or professional goals, your classes, exams, degree progress, or career)?",2021,"Thinking back to last term, how often did you and your academic advisor devote time specifically to discussing your academic or professional situation (for example, your academic or professional goals, your classes, exams, degree progress, or career)?",NA,NA,2024,"Thinking back to last term, how often did you and your faculty advisor devote time specifically to discussing your academic or professional situation (for example, your academic or professional goals, your classes, exams, degree progress, or career)?"
ADV_SATISF_MAP,Interval Scale,matrix,Advising Experience,7,How satisfied are you with the following aspects of your program?,the mentorship and advising I receive in my program,satisfaction3,2023,How satisfied are you with the following aspects of your program? - The mentorship and advising I receive in my program,2021,I'm satisfied with... - the mentorship and advising I receive in my program,2022,I'm satisfied with . . . - The mentorship and advising I receive in my program,2024,How satisfied are you with the following aspects of your program? - The mentorship and advising I receive in my program
ADV_SATISF_CSP,Interval Scale,matrix,Advising Experience,7,How satisfied are you with the following aspects of your program?,the career support I receive in my program,satisfaction3,2023,How satisfied are you with the following aspects of your program? - The career support I receive in my program,2021,I'm satisfied with... - the career support I receive in my program,2022,I'm satisfied with . . . - The career support I receive in my program,2024,How satisfied are you with the following aspects of your program? - The career support I receive in my program
ADV_SATISF_STD,Interval Scale,matrix,Advising Experience,7,How satisfied are you with the following aspects of your program?,the support I received regarding my thesis/dissertation research,satisfaction3,2023,How satisfied are you with the following aspects of your program? - The support I receive regarding my thesis/dissertation/capstone research,2021,I'm satisfied with... - the support I received regarding my thesis/dissertation research,2022,I'm satisfied with . . . - The support I received regarding my thesis/dissertation research,2024,How satisfied are you with the following aspects of your program? - The support I receive regarding my thesis/dissertation/capstone research
ADV_SATISF_GPC,Interval Scale,matrix,Advising Experience,7,How satisfied are you with the following aspects of your program?,The support I receive from my graduate program coordinator,satisfaction3,2023,How satisfied are you with the following aspects of your program? - The support I receive from my graduate program coordinator,NA,NA,NA,NA,2024,How satisfied are you with the following aspects of your program? - The support I receive from my graduate program coordinator
PRDV_PART_LEA,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Leadership,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Leadership,NA,NA,NA,NA,NA,NA
PRDV_PART_GRW,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Grant writing,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Grant writing,NA,NA,NA,NA,NA,NA
PRDV_PART_PRM,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Project management,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Project management,NA,NA,NA,NA,NA,NA
PRDV_PART_TPR,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Teaching preparation,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Teaching preparation,NA,NA,NA,NA,NA,NA
PRDV_PART_QUA,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Quantitative literacy/data analytics,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Quantitative literacy/data analytics,NA,NA,NA,NA,NA,NA
PRDV_PART_REI,Multi Select,selectallthatapply,Professional Development and Progress to Degree,8,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply),Research ethics/scholarly integrity,NA,2023,In what types of professional development opportunities have you participated since starting your graduate program? (select all that apply) - Research ethics/scholarly integrity,NA,NA,NA,NA,NA,NA
